English,Spanish
"With 22% of its student body coming from abroad, Yale University offers a diverse and exciting global environment in which to study.","Con el 22 % de su alumnado procedente del extranjero, la Universidad de Yale ofrece un entorno global diverso y emocionante en el que estudiar."
"Yale’s history of including international students is a long one, starting back in the 1800s.","La historia de Yale de incluir estudiantes internacionales es larga, ya que comenzó en el siglo XIX."
"Today, Yale welcomes the largest international community in its history, with a current enrollment of 2,841 international students from 121 countries.","
Hoy, Yale da la bienvenida a la comunidad internacional más grande de su historia, con una matrícula actual de 2841 estudiantes internacionales de 121 países."
Applying to Yale,Aplicar a Yale
"To be considered for acceptance to Yale, interested applicants must apply directly to the school, college, or program where the degree will be awarded","Para ser considerado para la aceptación en Yale, los solicitantes interesados ​​deben presentar su solicitud directamente en la escuela, la universidad o el programa donde se otorgará el título."
yale College for undergraduate degrees; the Graduate School of Arts and Sciences for doctoral programs and some master’s degrees,Yale College para títulos universitarios; la Escuela de Graduados en Artes y Ciencias para programas de doctorado y algunas maestrías
Each program has its own procedures for international applicants and for applying for financial assistance.,Cada programa tiene sus propios procedimientos para solicitantes internacionales y para solicitar asistencia financiera.
Graduate School of Arts & Sciences,Escuela de Graduados en Artes y Ciencias
Yale Summer Session,Sesión de verano de Yale
"Information on programs of study, academic requirements, and financial aid are specific to each school.","La información sobre programas de estudio, requisitos académicos y ayuda financiera es específica para cada escuela."
Visit for information about doctoral programs,Visite para obtener información sobre los programas de doctorado
Visit for information about Yale College and advice for applicants.,Visite para obtener información sobre Yale College y consejos para los solicitantes.
Fellowships and Financial Assistance,Becas y asistencia financiera
Programs Not Granting Degrees,Programas que no otorgan títulos
Yale offers significant financial assistance to international students to cover tuition costs as it does with students from the U.S.,"
Yale ofrece una importante asistencia financiera a los estudiantes internacionales para cubrir los costos de matrícula como lo hace con los estudiantes de los EE. UU."
Fox International Fellowship,Fox International Fellowship
The Fox International Fellowship is a graduate student exchange program between Yale University and 21 world-renowned academic partners.,Fox International Fellowship es un programa de intercambio de estudiantes graduados entre la Universidad de Yale y 21 socios académicos de renombre mundial.
The Fox Fellowship is working to sustain and expand that global network.,Fox Fellowship está trabajando para sostener y expandir esa red global.
Open Yale Courses,Cursos abiertos de Yale
The aim of the project is to expand access to educational materials for all who wish to learn.,"
El objetivo del proyecto es ampliar el acceso a materiales educativos para todos los que deseen aprender."
Yale College credit are offered online through Yale Summer Online including OYC professors John Rogers and Craig Wright.,"Los créditos de Yale College se ofrecen en línea a través de Yale Summer Online, incluidos los profesores de OYC John Rogers y Craig Wright."
The aim of the project is to expand access to educational materials for all who wish to learn.,El objetivo del proyecto es ampliar el acceso a materiales educativos para todos los que deseen aprender.
Registration is not required,No es necesario registrarse
Jackson School of Global Affairs,Escuela Jackson de Asuntos Globales
The Jackson School of Global Affairs promotes education and scholarship on global affairs at Yale.,La Escuela Jackson de Asuntos Globales promueve la educación y la erudición sobre asuntos globales en Yale.
Yale School of Public Health,Escuela de Salud Pública de Yale
"Bring your experience, ambition, and passionate ideas to the Yale School of Public Health and discover what you can make of them.","Traiga su experiencia, ambición e ideas apasionadas a la Escuela de Salud Pública de Yale y descubra lo que puede hacer con ellas."
The promise of exciting opportunities awaits.,"
Le espera la promesa de oportunidades emocionantes."
Admission to Graduate Study Welcome,Admisión a estudios de posgrado Bienvenido
Institute students and fellows are immersed in a vibrant interdisciplinary environment that fosters a collaborative learning experience. ,"
Los estudiantes y becarios del Instituto están inmersos en un ambiente interdisciplinario vibrante que fomenta una experiencia de aprendizaje colaborativo."
Students must file separate applications for the ISM and YDS. The ISM does not charge an application fee. ,Los estudiantes deben presentar solicitudes separadas para ISM y YDS. El ISM no cobra una tarifa de solicitud.
Decisions made by the admissions committees of the Institute and the Divinity School are based on the application and supporting materials.,Las decisiones tomadas por los comités de admisiones del Instituto y la Divinity School se basan en la solicitud y los materiales de apoyo.
